id,Observee2,Observee4,Session_1,Session_2,Session_3,Session_4,Seeking_contagion,Second_contagion,Averse_contagion,First_contagion,Obs_averse,Obs_seeking,Domain
6,0.02,-0.015,0.00639067479046782,0.0112132371865279,0.0122345329100782,-0.0075214402695858,0.00482256239606012,0.019755973179664,0.019755973179664,0.00482256239606012,-0.015,0.02,2
7,-0.015,0.02,0.0225298301459906,0.00361452162923093,0.00374571781740335,0.00392301783051072,0.00017730001310737,0.00017730001310737,0.0189153085167597,0.0189153085167597,-0.015,0.02,2
8,0.02,-0.015,-0.0101853862784202,-0.0020655331254777,-0.00297707120923049,-0.011139207582494,0.00811985315294247,0.00816213637326354,0.00816213637326354,0.00811985315294247,-0.015,0.02,2
9,-0.015,0.02,-0.00948768099097933,-0.0201013430756533,-0.0058984096051327,-0.0167356161952849,-0.0108372065901522,-0.0108372065901522,0.010613662084674,0.010613662084674,-0.015,0.02,2
10,0.02,-0.015,0.00157499977289782,0.00811667457536961,0.0105846944409054,9.60099871347358e-05,0.00654167480247179,0.0104886844537707,0.0104886844537707,0.00654167480247179,-0.015,0.02,2
11,-0.015,0.02,0.00626741474378055,-0.00736597820949745,0.0006097456478984,0.00838234248378146,0.00777259683588306,0.00777259683588306,0.013633392953278,0.013633392953278,-0.015,0.02,2
12,0.02,-0.015,-0.04,-0.04,-0.04,-0.04,0,0,0,0,-0.015,0.02,2
13,-0.015,0.02,-0.00279013997257933,-0.0391329733719297,-0.0219344413179396,-0.0218448232687311,8.96180492084599e-05,8.96180492084599e-05,0.0363428333993504,0.0363428333993504,-0.015,0.02,2
14,0.02,-0.015,-0.0238705610446521,-0.04,-0.04,-0.04,-0.0161294389553479,0,0,-0.0161294389553479,-0.015,0.02,2
15,-0.015,0.02,0.00611951118526239,-0.0124221312223363,-0.0146846405607808,0.000605209636474854,0.0152898501972557,0.0152898501972557,0.0185416424075987,0.0185416424075987,-0.015,0.02,2
16,0.02,-0.015,-0.00824166843825648,-0.00575490041857579,-0.00379698719510416,-0.00696206206265852,0.00248676801968069,0.00316507486755436,0.00316507486755436,0.00248676801968069,-0.015,0.02,2
17,-0.015,0.02,0.00312939100998806,-0.00624230701701656,-0.00657603653296341,-0.00127359095437473,0.00530244557858868,0.00530244557858868,0.00937169802700462,0.00937169802700462,-0.015,0.02,2
18,0.02,-0.015,-0.0091898445797161,0.00276674960235899,0.00286233147426822,-0.0134256277715758,0.0119565941820751,0.016287959245844,0.016287959245844,0.0119565941820751,-0.015,0.02,2
19,-0.015,0.02,0.00299860479638175,-0.00522604182589469,-0.00582527900850141,-0.00185105587004938,0.00397422313845203,0.00397422313845203,0.00822464662227643,0.00822464662227643,-0.015,0.02,2
20,0.02,-0.015,0.00714327615651214,0.00302195712176173,0.00342086783858711,0.00324750256724855,-0.00412131903475041,0.000173365271338561,0.000173365271338561,-0.00412131903475041,-0.015,0.02,2
21,-0.015,0.02,0.0119500634370104,-0.00399200977373167,-0.00851870138336747,-0.00806745150150882,0.000451249881858655,0.000451249881858655,0.015942073210742,0.015942073210742,-0.015,0.02,2
22,0.02,-0.015,-0.00193006158897939,0.0109083149945297,0.05,0.0205430686161035,0.0128383765835091,0.0294569313838965,0.0294569313838965,0.0128383765835091,-0.015,0.02,2
23,-0.015,0.02,0.00724480345562396,-0.00445356144281344,0.00131622607746054,-0.00170021804505133,-0.00301644412251186,-0.00301644412251186,0.0116983648984374,0.0116983648984374,-0.015,0.02,2
24,0.02,-0.015,0.00319093280345898,0.00228881104686904,0.00567646706489267,0.005291005290974,-0.000902121756589934,0.000385461773918674,0.000385461773918674,-0.000902121756589934,-0.015,0.02,2
