Trail,P,V,Usafe,Pos,Loss,ChooseGamble,Judge,RT,Choice,session,seq,id
2,0.5,40,20,2,20,1,1,1.24967783541895,0,2,0,108
3,0.6,50,30,1,20,1,2,5.26589126688798,0,2,0,108
4,0.5,20,10,1,10,1,2,1.56638443528825,0,2,0,108
5,0.5,20,10,2,10,1,1,1.33304233983859,0,2,0,108
6,0.5,40,20,1,20,1,2,2.28297425762447,0,2,0,108
1,0.6,50,30,1,20,1,1,1.14963575445243,1,2,1,108
2,0.5,20,10,2,10,1,2,1.44991880312152,1,2,1,108
3,0.5,40,20,1,20,1,1,1.64966854111333,1,2,1,108
4,0.6,50,30,2,20,1,2,2.28310141284849,1,2,1,108
5,0.5,20,10,1,10,1,1,1.71621120767812,1,2,1,108
6,0.5,40,20,2,20,1,2,6.39888764838102,1,2,1,108
1,0.5,40,20,1,20,1,1,0.883073358870816,1,2,2,108
2,0.5,40,20,2,20,1,2,1.23302905411339,1,2,2,108
3,0.5,20,10,2,10,1,2,1.19975201880301,1,2,2,108
4,0.5,20,10,1,10,1,1,0.516518489966141,1,2,2,108
5,0.6,50,30,1,20,1,1,1.14972898260996,1,2,2,108
6,0.6,50,30,2,20,1,2,0.799735368881296,1,2,2,108
1,0.5,20,10,2,10,0,1,1.19991937332432,0,4,0,108
2,0.5,40,20,2,20,0,1,0.566323138487434,0,4,0,108
3,0.6,50,30,1,20,0,2,0.8830448487309,0,4,0,108
4,0.5,40,20,2,20,0,1,1.01661086281947,0,4,0,108
5,0.6,50,30,1,20,0,1,2.88287834951379,1,4,0,108
6,0.5,20,10,1,10,0,2,0.633223037105377,0,4,0,108
1,0.5,40,20,2,20,0,1,1.1331121326611,0,4,1,108
2,0.6,50,30,2,20,0,1,1.29967891880426,0,4,1,108
3,0.5,20,10,2,10,0,1,0.683169951224853,0,4,1,108
4,0.5,20,10,1,10,0,2,0.799785546727549,0,4,1,108
5,0.5,40,20,1,20,0,2,0.533190649586432,0,4,1,108
6,0.6,50,30,1,20,0,2,1.53310911058627,0,4,1,108
1,0.5,40,20,1,20,0,2,0.666673984269245,0,4,2,108
2,0.6,50,30,1,20,0,2,2.01625448607052,0,4,2,108
3,0.5,20,10,2,10,0,1,0.449963849142586,0,4,2,108
4,0.6,50,30,2,20,0,1,0.966468654241568,0,4,2,108
5,0.5,40,20,2,20,0,1,0.700021439625217,0,4,2,108
6,0.5,20,10,1,10,0,2,0.633076209884808,0,4,2,108
1,0.5,40,20,1,20,0,2,2.91618674597807,0,2,0,109
2,0.6,50,30,1,20,0,2,1.64987324391793,0,2,0,109
3,0.6,50,30,2,20,0,1,3.08297733671958,0,2,0,109
4,0.5,20,10,2,10,0,1,1.24972088573022,0,2,0,109
5,0.5,40,20,1,20,0,2,1.61633277491473,0,2,0,109
6,0.5,20,10,2,10,0,2,1.48304045816935,1,2,0,109
1,0.5,40,20,2,20,0,1,1.53322030013194,0,2,1,109
2,0.5,20,10,2,10,0,1,1.46637970260503,0,2,1,109
3,0.5,20,10,1,10,0,2,3.16604989730648,0,2,1,109
4,0.6,50,30,1,20,0,2,1.39991230280962,0,2,1,109
5,0.6,50,30,2,20,0,1,1.29991897418236,0,2,1,109
6,0.5,40,20,1,20,0,2,1.31631629605385,0,2,1,109
1,0.6,50,30,2,20,0,1,4.78272621940719,0,2,2,109
2,0.6,50,30,1,20,0,2,0.883072218465219,0,2,2,109
3,0.5,20,10,2,10,0,1,1.64969591084765,0,2,2,109
4,0.5,40,20,1,20,0,2,0.899429626140833,0,2,2,109
5,0.5,20,10,2,10,0,1,0.982946089606229,0,2,2,109
6,0.5,40,20,1,20,0,2,0.883213058556406,0,2,2,109
1,0.5,40,20,2,20,1,1,2.69950854220812,0,4,0,109
2,0.6,50,30,2,20,1,1,0.550033299843422,0,4,0,109
3,0.6,50,30,1,20,1,2,0.766648781305559,0,4,0,109
4,0.5,40,20,1,20,1,2,0.733087214798815,0,4,0,109
5,0.5,20,10,1,10,1,2,0.6832902640153,0,4,0,109
6,0.5,20,10,2,10,1,1,0.56646112756463,0,4,0,109
1,0.5,20,10,1,10,1,1,1.46630614644404,1,4,1,109
2,0.5,40,20,2,20,1,2,0.96658383520683,1,4,1,109
3,0.5,40,20,1,20,1,1,1.48308835520441,1,4,1,109
4,0.6,50,30,1,20,1,1,4.1329071447551,1,4,1,109
5,0.6,50,30,2,20,1,2,3.24947569852694,1,4,1,109
6,0.5,20,10,2,10,1,2,1.18320273788576,1,4,1,109
1,0.6,50,30,1,20,1,2,1.16642993747156,0,4,2,109
2,0.6,50,30,2,20,1,1,0.849808297819202,0,4,2,109
3,0.5,20,10,1,10,1,1,5.36587889348726,1,4,2,109
4,0.5,40,20,2,20,1,2,0.966646272413247,1,4,2,109
5,0.5,20,10,1,10,1,1,1.09959988869641,1,4,2,109
6,0.5,40,20,2,20,1,2,0.700031703275587,1,4,2,109
1,0.5,20,10,1,10,1,2,5.98241294998979,0,2,0,110
2,0.5,20,10,1,10,1,2,2.51617950440254,0,2,0,110
3,0.5,40,20,2,20,1,1,2.71630443583565,0,2,0,110
4,0.6,50,30,2,20,1,1,4.4328144297801,0,2,0,110
5,0.5,40,20,1,20,1,2,0.916404563447036,0,2,0,110
6,0.6,50,30,2,20,1,1,2.99951276170883,0,2,0,110
1,0.5,20,10,2,10,1,2,1.5163283273329,1,2,1,110
2,0.6,50,30,2,20,1,2,1.13306537603164,1,2,1,110
3,0.5,40,20,2,20,1,2,1.06635364433714,1,2,1,110
4,0.5,20,10,1,10,1,1,1.29965981701052,1,2,1,110
5,0.6,50,30,1,20,1,1,0.899591278634159,1,2,1,110
6,0.5,40,20,1,20,1,1,2.21646067140239,1,2,1,110
1,0.5,20,10,2,10,1,2,1.86648501906188,1,2,2,110
2,0.6,50,30,1,20,1,1,1.64984786989341,1,2,2,110
3,0.5,40,20,1,20,1,1,0.84982625920735,1,2,2,110
4,0.5,40,20,1,20,1,1,0.732967757312566,1,2,2,110
5,0.5,20,10,2,10,1,2,1.46637685159104,1,2,2,110
6,0.6,50,30,2,20,1,2,2.14954908362708,1,2,2,110
1,0.5,40,20,2,20,0,1,1.69958951100548,0,4,0,110
2,0.5,40,20,1,20,0,2,0.533152731100343,0,4,0,110
3,0.6,50,30,1,20,0,2,2.81622021688234,0,4,0,110
4,0.5,20,10,1,10,0,1,1.99979358658701,1,4,0,110
5,0.5,20,10,2,10,0,2,0.949795924418479,1,4,0,110
6,0.6,50,30,2,20,0,1,2.48279127954648,0,4,0,110
1,0.6,50,30,2,20,0,1,4.33276892759679,0,4,1,110
2,0.5,20,10,2,10,0,1,1.08313015106953,0,4,1,110
3,0.5,40,20,1,20,0,2,1.61646050034155,0,4,1,110
4,0.5,40,20,2,20,0,1,1.19972750008268,0,4,1,110
5,0.5,20,10,1,10,0,2,1.11623327452642,0,4,1,110
6,0.6,50,30,1,20,0,2,1.38315461276958,0,4,1,110
1,0.5,40,20,2,20,0,1,1.38305967400366,0,4,2,110
2,0.6,50,30,2,20,0,1,1.93306931043095,0,4,2,110
3,0.6,50,30,2,20,0,1,1.01637280315117,0,4,2,110
4,0.5,20,10,1,10,0,2,1.6996847348728,0,4,2,110
5,0.5,20,10,1,10,0,2,3.44957782184812,0,4,2,110
6,0.5,40,20,1,20,0,2,1.43293246175935,0,4,2,110
1,0.5,20,10,2,10,0,1,3.26641324903058,0,2,0,111
2,0.5,40,20,1,20,0,2,1.48310043828726,0,2,0,111
3,0.6,50,30,2,20,0,1,2.19955883321449,0,2,0,111
4,0.6,50,30,2,20,0,1,0.849675995868302,0,2,0,111
5,0.5,20,10,1,10,0,2,1.14973156224189,0,2,0,111
6,0.5,40,20,1,20,0,2,1.18294736704056,0,2,0,111
1,0.5,20,10,1,10,0,2,1.24963328759347,0,2,1,111
2,0.6,50,30,2,20,0,1,0.866406634664921,0,2,1,111
3,0.6,50,30,2,20,0,1,1.41629819613134,0,2,1,111
4,0.5,40,20,1,20,0,2,1.33315590487516,0,2,1,111
5,0.5,40,20,2,20,0,1,5.99902124494336,0,2,1,111
6,0.5,20,10,1,10,0,2,1.01643983478911,0,2,1,111
1,0.5,40,20,1,20,0,2,4.69948057272424,0,2,2,111
2,0.5,40,20,1,20,0,2,1.18328236185313,0,2,2,111
3,0.6,50,30,2,20,0,1,0.916379592743243,0,2,2,111
4,0.5,20,10,1,10,0,2,1.01648345539024,0,2,2,111
5,0.6,50,30,2,20,0,1,0.666499121743387,0,2,2,111
6,0.5,20,10,2,10,0,1,0.8331671664029,0,2,2,111
1,0.5,40,20,2,20,1,1,1.11635068340367,0,4,0,111
2,0.5,20,10,1,10,1,2,3.01617069853118,0,4,0,111
3,0.6,50,30,1,20,1,2,1.8997216549485,0,4,0,111
4,0.5,20,10,2,10,1,1,1.54965606724073,0,4,0,111
5,0.5,40,20,2,20,1,1,1.74948118569347,0,4,0,111
6,0.6,50,30,1,20,1,2,1.51653149507187,0,4,0,111
1,0.5,40,20,2,20,1,2,1.0830373737319,1,4,1,111
2,0.5,20,10,1,10,1,1,1.44966852619674,1,4,1,111
3,0.6,50,30,2,20,1,2,1.416516014035,1,4,1,111
4,0.5,20,10,1,10,1,1,1.39987632276622,1,4,1,111
5,0.5,40,20,1,20,1,1,1.61641183777584,1,4,1,111
6,0.6,50,30,2,20,1,2,0.81645505923421,1,4,1,111
1,0.6,50,30,1,20,1,1,0.916222216456827,1,4,2,111
2,0.5,20,10,2,10,1,2,1.7663486734348,1,4,2,111
3,0.5,40,20,2,20,1,2,1.34967300229764,1,4,2,111
4,0.5,40,20,1,20,1,1,0.966566377297672,1,4,2,111
5,0.6,50,30,1,20,1,1,0.816430825566918,1,4,2,111
6,0.5,20,10,2,10,1,2,1.18301493620701,1,4,2,111
1,0.5,20,10,2,10,1,1,1.66629413342829,0,2,0,112
2,0.6,50,30,2,20,1,1,3.74957156301737,0,2,0,112
3,0.5,40,20,2,20,1,1,2.94951784980657,0,2,0,112
4,0.6,50,30,1,20,1,2,2.26591403548436,0,2,0,112
5,0.5,20,10,1,10,1,2,1.0666967544277,0,2,0,112
6,0.5,40,20,1,20,1,2,2.0496402440815,0,2,0,112
1,0.5,40,20,1,20,1,1,2.31603239556644,1,2,1,112
2,0.5,20,10,1,10,1,1,1.64986313680019,1,2,1,112
3,0.6,50,30,1,20,1,1,2.29962107097414,1,2,1,112
4,0.6,50,30,2,20,1,2,2.24961104963996,1,2,1,112
5,0.5,40,20,2,20,1,2,1.69969496940428,1,2,1,112
